relative_orbit,frame_count,frames,maximum_common_calendar_start,maximum_common_calendar_end,recommended_mode,exact_intersection_applicable,common_epoch_count,exact_common_pair_count,minimum_pair_count_within_common_period,exact_pair_retention_vs_smaller_period_network,pair_set_jaccard,exact_common_pair_network_connected,exact_common_pair_components,isolated_common_epoch_count,isolated_common_epochs,single_frame_original_network_connected,note
004D,2,004D_05115_131313;004D_05314_131313,20141029,20241117,common-period,True,246,2371,2954,0.8026404874746107,0.4478655081224027,True,1,0,,,"Connectivity includes all common epochs, including isolated epochs."
026A,2,026A_05128_131313;026A_05327_131313,20141019,20231219,common-period,True,204,1766,2474,0.713823767178658,0.41108007448789574,True,1,0,,,"Connectivity includes all common epochs, including isolated epochs."
033D,2,033D_05106_131313;033D_05304_131313,20141031,20250130,common-period,True,264,1392,1488,0.9354838709677419,0.866210329807094,True,1,0,,,"Connectivity includes all common epochs, including isolated epochs."
055A,1,055A_05221_131313,20141021,20240618,independent,False,,,,,,,,,,False,Single-frame relative-orbit group; exact common metrics are not applicable.
070A,2,070A_05026_131313;070A_05251_161617,20141022,20240701,common-period,True,229,1998,2206,0.9057116953762466,0.7859952793076318,True,1,0,,,"Connectivity includes all common epochs, including isolated epochs."
077D,2,077D_05086_131313;077D_05285_131313,20141103,20240713,common-period,True,243,2634,3047,0.864456842796193,0.6544099378881988,True,1,0,,,"Connectivity includes all common epochs, including isolated epochs."
099A,2,099A_05018_131313;099A_05217_131313,20141012,20250821,common-period,True,208,1217,1312,0.9275914634146342,0.5279826464208243,True,1,0,,,"Connectivity includes all common epochs, including isolated epochs."
106D,2,106D_05049_131313;106D_05248_131313,20141024,20230907,common-period,True,216,1970,2096,0.9398854961832062,0.3507834757834758,False,4,3,20220409;20230323;20230814,,"Connectivity includes all common epochs, including isolated epochs."
128A,2,128A_05172_131313;128A_05371_131313,20141014,20241009,common-period,True,230,1220,1256,0.9713375796178344,0.9037037037037037,True,1,0,,,"Connectivity includes all common epochs, including isolated epochs."
135D,2,135D_05222_131313;135D_05421_131313,20141026,20250101,common-period,True,235,1193,1259,0.9475774424146147,0.8784977908689249,True,1,0,,,"Connectivity includes all common epochs, including isolated epochs."
150D,1,150D_05107_131313,20141027,20250812,independent,False,,,,,,,,,,True,Single-frame relative-orbit group; exact common metrics are not applicable.
172A,2,172A_05014_131313;172A_05237_161616,20141017,20250422,common-period,True,237,1850,1983,0.9329299041855774,0.6571936056838366,True,1,0,,,"Connectivity includes all common epochs, including isolated epochs."
